ccaa,prov,prov2,id_prov,id_color,id_iframe_casas,id_iframe_piscinas,id_iframe_restricciones,id_iframe_reformar,id_iframe_2515,id_iframe_2508,id_iframe_cincoanos,casas_tasac_2025,casas_tasac_2010,casas_tasac_1995,valor_tasac_2025,valor_tasac_1995,mascinco_2025,casas_noviembre_2025,valor_noviembre_2025,casas_noviembre_2015,valor_noviembre_2015,casas_noviembre_2008,valor_noviembre_2008,media_2025,casas_muestra,valor_muestra,casas_piscina,valor_piscina,casas_restriccion,valor_restriccion,casas_reformar,valor_reformar
Comunitat Valenciana,Castellón,Castellón/Castelló,castelloncastello,#56B070,3tPsg,KstwJ,FR7dp,g8bOE,QWYFK,WNrxW,TVbdo,"2,57033148","1,980943325","3,918800261","2,57033148","3,918800261","2,57","2,198391421",149200,"3,040796964",105400,"1,727115717",173700,"2,06159648","2,06159648",1.591,"1,486854034",2.206,"2,915555556",1.125,"4,304461942",762 
Ceuta,Ceuta,Ceuta,ceuta,#EB993D,cTE3v,eWZYe,4R5ma,HYmJe,,,KTIjH,"1,58870854","1,64982017",0,"1,58870854",,"1,59",#N/A,232100,#N/A,205600,#N/A,0,"1,318327974","1,318327974",2.488,"2,415316642",1.358,"1,653225806",1984,"1,622156281",2.022
Castilla-La Mancha,Ciudad Real,Ciudad Real,ciudadreal,#2F70B3,gzA1t,kojJI,3TojS,eKSfm,lZhYf,FR0U4,Ystz9,"4,36361701","3,021817523","4,031572122","4,36361701","4,031572122","4,39","4,298820446",76300,"3,779481132",84800,"2,588438309",115900,"4,125786164","4,125786164",795,"2,671009772",1.228,"4,17302799",786,"7,627906977",430
Andalucía,Córdoba,Córdoba,cordoba,#56B070,WJ5sm,qOSPu,tzGZq,fwE0h,XgI6T,0WS1r,Zh1jV,"2,76110545","2,22461162","3,534333039","2,76110545","3,534333039","2,79","2,554517134",128400,"2,711505922",118200,"1,808318264",165900,"2,431430689","2,431430689",1.349,"2,017220172",1.626,"3,333333333",984,"4,019607843",816
Galicia,A Coruña,"Coruña, A",corunaa,#56B070,ZVCwA,PE3Sm,gXlrZ,8dLgy,S0auy,oGhUZ,17fVw,"2,11363358","2,073570273","2,658253229","2,11363358","2,658253229","2,12","2,087842139",157100,"2,282763533",140400,"1,880877743",159500,"2,070707071","2,070707071",1.584,"1,590688652",2.062 ,"1,852060982",1.771,"3,557483731",922
Castilla-La Mancha,Cuenca,Cuenca,cuenca,#2F70B3,IcHyP,Mfbfj,zjG6H,F0ust,rF9J4,wG7RK,VmsNk,"3,81572825","3,016955289","4,168107633","3,81572825","4,168107633","3,83","3,783160323",86700,"4,098465473",78200,"2,827521206",106100,"4,373333333","4,373333333",750,"2,505729565",1.309,"3,83625731",855,"8,608923885",381
País Vasco,Gipuzkoa,Gipuzkoa,gipuzkoa,#EB993D,iyHrt,bPihi,iPQpU,tcrTG,QWJTl,1hJCg,nzbGK,"1,04331341","1,076859018","1,818442205","1,04331341","1,818442205","1,05","0,7953443259",412400,"1,110533611",288600,"0,8748906387",342900,"0,7352611522","0,7352611522",4.461,"0,6471981058",5.068,"1,086812459",3.018,"0,8954408954",3.663
Cataluña,Girona,Girona,girona,#EB993D,lTdZJ,ZHYU8,lmQvG,yy8EM,kRBrW,HMLps,4qoAN,"1,66677677","1,509471936","3,094816341","1,66677677","3,094816341","1,68","1,24430956",263600,"1,879765396",170500,"1,29982669",230800,"1,111864407","1,111864407",2.950,"0,9384835479",3.495,"2,349570201",1.396,"1,719979025",1.907
Andalucía,Granada,Granada,granada,#56B070,StrG9,W5YKf,rJHxD,ItjIk,0VFii,M0kzd,DsIXx,"2,22694467","2,233804914","3,766140992","2,22694467","3,766140992","2,23","1,929411765",170000,"2,801573427",114400,"1,898734177",158000,"1,693340217","1,693340217",1.937,"1,466249441",2.237,"2,877192982",1.140,"2,712985939",1.209
Castilla-La Mancha,Guadalajara,Guadalajara,guadalajara,#56B070,vzffq,t8yGJ,njdUR,O3iom,7KQZ3,tWc9W,kLLFG,"2,17545582","1,879663916","2,755256724","2,17545582","2,755256724","2,18","2,225237449",147400,"3,250507099",98600,"2,017484869",148700,"2,385454545","2,385454545",1.375,"1,952380952",1.680,"2,37853517",1.379,"5,403624382",607
Andalucía,Huelva,Huelva,huelva,#56B070,g6yRo,vN4ox,OmtYM,yqEWx,85EBH,TwKos,LJUrO,"2,41029372","1,953888238","3,529628252","2,41029372","3,529628252","2,42","2,017220172",162600,"2,668609492",120100,"1,704545455",176000,"1,921499707","1,921499707",1.707,"1,399317406",2.344,"3,257199603",1.007,"4,014687882",817
Aragón,Huesca,Huesca,huesca,#56B070,P7Kcs,RUxmO,Y6H7J,TipPz,7lBZi,Sd7tR,nIL80,"2,50095311","2,07017907","4,027519657","2,50095311","4,027519657","2,51","1,939680662",169100,"2,353157122",136200,"1,621621622",185000,"2,324592488","2,324592488",1.411,"1,418071768",2.313,"2,941704036",1.115,"5,764499121",569
Andalucía,Jaén,Jaén,jaen,#2F70B3,qwNP4,9JgDI,CXwSq,Fkait,THFV6,rKncQ,ymzaF,"3,88427697","2,857551079","4,705219207","3,88427697","4,705219207","3,91","3,849765258",85200,"3,495092694",91700,"2,394253791",125300,"3,818393481","3,818393481",859 ,"2,655870445",1.235,"4,141414141",792,"6,520874751",503
Castilla y León,León,León,leon,#2F70B3,HWUdR,AycP6,wrx9l,iFAAk,YguCQ,lB33a,MgPFC,"3,42226349","2,614037381","3,363253124","3,42226349","3,363253124","3,44","3,03142329",108200,"3,102613746",103300,"2,433090024",123300,"3,47826087","3,47826087",943,"2,515337423",1.304,"3,565217391",920,"6,993603412",469
